control branch bit logical arith datamov
0 7 25 2 19 187 
0 4 1 1 0 35 
0 4 2 1 1 50 
0 3 0 0 0 38 
0 0 0 0 0 0 
0 2 0 0 0 18 
0 3 1 0 0 40 
0 1 0 0 0 0 
0 1 0 0 0 0 
0 1 0 0 0 10 
0 4 0 7 0 38 
0 132 33 46 550 173 
0 48 14 46 337 660 
0 4 1 0 0 30 
0 2 0 0 0 8 
0 3 0 7 0 22 
0 5 126 9 36 105 
0 5 1 0 0 44 
0 1 0 1 2 22 
0 11 2 4 1 166 
0 4 0 0 24 154 
0 6 3 5 1 67 
0 3 0 1 0 16 
0 2 0 1 0 16 
0 36 6 17 108 365 
0 3 0 2 4 20 
0 3 4 2 4 18 
0 35 57 101 214 1623 
0 35 57 101 226 1721 
0 0 0 0 0 0 
0 3 0 3 0 18 
0 0 0 0 0 0 
0 3 1 4 0 28 
0 43 7 13 189 111 
0 4 0 4 9 34 
0 4 3 0 0 107 
0 8 5 3 9 117 
1 14 2 0 8 127 
0 11 2 8 6 112 
0 4 0 4 3 42 
0 4 1 4 5 48 
0 28 6 2 22 497 
0 3 0 0 0 18 
0 3 0 0 6 18 
0 3 0 2 0 28 
0 3 0 1 0 18 
0 7 1 7 8 50 
0 4 2 0 65 184 
0 207 0 140 374 3220 
0 123 30 90 1050 1124 
0 123 30 60 1320 1094 
0 3 8 6 96 470 
0 3 4 1 0 26 
0 523 13 4 1048 6792 
0 4 4 0 12 64 
0 4 3 4 3 77 
0 8 2 4 8 68 
0 57 0 1 0 173 
0 10 0 1 10 64 
0 3 0 6 4 75 
0 21 0 5 87 38 
0 215 1 1075 4085 6051 
0 8 0 6 0 90 
0 3 0 1 0 14 
0 18 8 26 12 150 
0 7 0 12 0 86 
0 3 2 0 12 68 
0 4 3 0 32 96 
0 1 0 0 0 0 
0 7 3 2 12 92 
0 3 2 2 7 60 
0 3 2 2 0 52 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 13 5 5 16 184 
0 5 3 8 0 149 
0 4 0 0 0 40 
0 56 25 39 186 165 
0 9 7 15 21 245 
0 20 0 0 10 169 
0 5 3 7 74 227 
0 456 144 216 864 2260 
0 6 2 9 0 148 
0 34 268 8 36 458 
0 108 678 144 938 1193 
0 1 0 0 0 0 
0 2 1 3 18 78 
0 10 1 0 0 186 
0 4 0 0 0 82 
0 7 0 0 0 48 
0 9 0 6 0 114 
0 3 3 5 12 147 
0 3 0 0 0 26 
0 10 1 1 14 76 
